"","PRVDR_NUM_prov","FULL_ADR_prov","STATE_CD_prov","ST_ADR_prov","FAC_NAME_prov","CITY_NAME_prov","PHNE_NUM_prov","ZIP_CD_prov","PRVDR_CTGRY_CD","PRVDR_NUM_lab","FULL_ADR_lab","STATE_CD_lab","ST_ADR_lab","FAC_NAME_lab","CITY_NAME_lab","PHNE_NUM_lab","ZIP_CD_lab","PRVDR_TYPE","STATE","BING_ADR"
"1","070002","114 WOODLAND ST, HARTFORD, CT, 06105","CT","114 WOODLAND ST","ST FRANCIS HOSPITAL & MEDICAL CENTER","HARTFORD",8607144000,"06105",1,"07D0094176","114 WOODLAND ST, HARTFORD, CT, 06105","CT","114 WOODLAND ST","COLLABORATIVE LAB SRVCS/ST FRANCIS","HARTFORD","8607145781","06105","Hospital","CONNECTICUT","114 Woodland St, Hartford, Connecticut 06105, United States"
"2","070002","114 WOODLAND ST, HARTFORD, CT, 06105","CT","114 WOODLAND ST","ST FRANCIS HOSPITAL & MEDICAL CENTER","HARTFORD",8607144000,"06105",1,"07D2047913","114 WOODLAND ST, HARTFORD, CT, 06105","CT","114 WOODLAND ST","COLLABORATIVE LABORATORY SERVICES","HARTFORD","8607146355","06105","Hospital","CONNECTICUT","114 Woodland St, Hartford, Connecticut 06105, United States"
"3","070003","320 POMFRET ST, PUTNAM, CT, 06260","CT","320 POMFRET ST","DAY KIMBALL HOSPITAL","PUTNAM",8609286541,"06260",1,"07D0095139","320 POMFRET ST, PUTNAM, CT, 06260","CT","320 POMFRET ST","DAY KIMBALL HOSPITAL","PUTNAM","8609286541","06260","Hospital","CONNECTICUT","320 Pomfret St, Putnam, Connecticut 06260, United States"
"4","070003","320 POMFRET ST, PUTNAM, CT, 06260","CT","320 POMFRET ST","DAY KIMBALL HOSPITAL","PUTNAM",8609286541,"06260",1,"07D0923073","320 POMFRET ST, PUTNAM, CT, 06260","CT","320 POMFRET ST","DAY KIMBALL HEALTHCARE","PUTNAM","8609286541","06260","Hospital","CONNECTICUT","320 Pomfret St, Putnam, Connecticut 06260, United States"
"5","070005","64 ROBBINS ST, WATERBURY, CT, 06721","CT","64 ROBBINS ST","WATERBURY HOSPITAL","WATERBURY",2035736000,"06721",1,"07D0100126","64 ROBBINS ST, WATERBURY, CT, 06708","CT","64 ROBBINS ST","WATERBURY HOSPITAL LABORATORY","WATERBURY","2035737267","06708","Hospital","CONNECTICUT","64 Robbins St, Waterbury, Connecticut 06721, United States"
"6","070005","64 ROBBINS ST, WATERBURY, CT, 06721","CT","64 ROBBINS ST","WATERBURY HOSPITAL","WATERBURY",2035736000,"06721",1,"07D0978123","64 ROBBINS ST, WATERBURY, CT, 06708","CT","64 ROBBINS ST","WATERBURY HOSPITAL PHARMACY","WATERBURY","2035736000","06708","Hospital","CONNECTICUT","64 Robbins St, Waterbury, Connecticut 06721, United States"
"7","070007","365 MONTAUK AVE, NEW LONDON, CT, 06320","CT","365 MONTAUK AVE","LAWRENCE & MEMORIAL HOSPITAL","NEW LONDON",8604420711,"06320",1,"07D0666646","365 MONTAUK AVE, NEW LONDON, CT, 06320","CT","365 MONTAUK AVE","LAWRENCE & MEMORIAL HOSPITAL LABORATORY","NEW LONDON","8604445101","06320","Hospital","CONNECTICUT","365 Montauk Ave, New London, Connecticut 06320, United States"
"8","070007","365 MONTAUK AVE, NEW LONDON, CT, 06320","CT","365 MONTAUK AVE","LAWRENCE & MEMORIAL HOSPITAL","NEW LONDON",8604420711,"06320",1,"07D0925932","365 MONTAUK AVE, NEW LONDON, CT, 06320","CT","365 MONTAUK AVE","LAWRENCE & MEMORIAL HOSPITAL","NEW LONDON","8604420711","06320","Hospital","CONNECTICUT","365 Montauk Ave, New London, Connecticut 06320, United States"
"9","070010","267 GRANT ST, BRIDGEPORT, CT, 06610","CT","267 GRANT ST","BRIDGEPORT HOSPITAL","BRIDGEPORT",2033843000,"06610",1,"07D0099572","267 GRANT ST, BRIDGEPORT, CT, 06610","CT","267 GRANT ST","BRIDGEPORT HOSPITAL LABORATORY","BRIDGEPORT","2033843155","06610","Hospital","CONNECTICUT","267 Grant St, Bridgeport, Connecticut 06610, United States"
"10","070011","540 LITCHFIELD ST, TORRINGTON, CT, 06790","CT","540 LITCHFIELD ST","CHARLOTTE HUNGERFORD HOSPITAL","TORRINGTON",8604966666,"06790",1,"07D0100587","540 LITCHFIELD ST, TORRINGTON, CT, 06790","CT","540 LITCHFIELD ST","CHARLOTTE HUNGERFORD/BLOOD GAS LAB","TORRINGTON","8604966538","06790","Hospital","CONNECTICUT","540 Litchfield St, Torrington, Connecticut 06790, United States"
"11","070011","540 LITCHFIELD ST, TORRINGTON, CT, 06790","CT","540 LITCHFIELD ST","CHARLOTTE HUNGERFORD HOSPITAL","TORRINGTON",8604966666,"06790",1,"07D0100596","540 LITCHFIELD ST, TORRINGTON, CT, 06790","CT","540 LITCHFIELD ST","CHARLOTTE HUNGERFORD HOSPITAL","TORRINGTON","8604966560","06790","Hospital","CONNECTICUT","540 Litchfield St, Torrington, Connecticut 06790, United States"
"12","070011","540 LITCHFIELD ST, TORRINGTON, CT, 06790","CT","540 LITCHFIELD ST","CHARLOTTE HUNGERFORD HOSPITAL","TORRINGTON",8604966666,"06790",1,"07D2161328","540 LITCHFIELD ST, TORRINGTON, CT, 06790","CT","540 LITCHFIELD ST","CHARLOTTE HUNGERFORD HOSPITAL","TORRINGTON","8604966350","06790","Hospital","CONNECTICUT","540 Litchfield St, Torrington, Connecticut 06790, United States"
"13","070011","540 LITCHFIELD ST, TORRINGTON, CT, 06790","CT","540 LITCHFIELD ST","CHARLOTTE HUNGERFORD HOSPITAL","TORRINGTON",8604966666,"06790",1,"07D2219436","540 LITCHFIELD ST, TORRINGTON, CT, 06790","CT","540 LITCHFIELD ST","CHARLOTTE HUNGERFORD HOSPITAL EMERGENCY DEPT","TORRINGTON","8604966650","06790","Hospital","CONNECTICUT","540 Litchfield St, Torrington, Connecticut 06790, United States"
"14","070017","435 LEWIS AVE, MERIDEN, CT, 06450","CT","435 LEWIS AVE","MIDSTATE MEDICAL CENTER","MERIDEN",2036948200,"06450",1,"07D0901102","435 LEWIS AVE, MERIDEN, CT, 06451","CT","435 LEWIS AVE","MIDSTATE MEDICAL CENTER","MERIDEN","2036948200","06451","Hospital","CONNECTICUT","435 Lewis Ave, Meriden, Connecticut 06450, United States"
"15","070017","435 LEWIS AVE, MERIDEN, CT, 06450","CT","435 LEWIS AVE","MIDSTATE MEDICAL CENTER","MERIDEN",2036948200,"06450",1,"07D0949769","435 LEWIS AVE, MERIDEN, CT, 06451","CT","435 LEWIS AVE","MIDSTATE MEDICAL CENTER","MERIDEN","2036948118","06451","Hospital","CONNECTICUT","435 Lewis Ave, Meriden, Connecticut 06450, United States"
"16","070017","435 LEWIS AVE, MERIDEN, CT, 06450","CT","435 LEWIS AVE","MIDSTATE MEDICAL CENTER","MERIDEN",2036948200,"06450",1,"07D2241639","435 LEWIS AVE, MERIDEN, CT, 06451","CT","435 LEWIS AVE","MIDSTATE MEDICAL CENTER","MERIDEN","2036948230","06451","Hospital","CONNECTICUT","435 Lewis Ave, Meriden, Connecticut 06450, United States"
